Country,Subtopic link,Status link,Status justification,iso_a3_eh
Libya,Enforcement of emergency vaccination,Legal sanctions,"Individuals that fail to receive an emergency vaccination can be fined, yet the fine is not defined in the policy. ",LBY
Liechtenstein,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,LIE
Liechtenstein,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,LIE
Liechtenstein,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,LIE
Liechtenstein,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,LIE
Liechtenstein,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",LIE
Lithuania,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,LTU
Lithuania,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,LTU
Lithuania,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,LTU
Lithuania,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,LTU
Lithuania,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",LTU
Luxembourg,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,LUX
Luxembourg,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,LUX
Luxembourg,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,LUX
Luxembourg,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,LUX
Luxembourg,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",LUX
Madagascar,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MDG
Madagascar,Enforcement of childhood vaccination requirement,No enforcement mechanisms,"While there is a legal requirement for children to be vaccinated, no enforcement mechanisms were identified in the legislation. Article 275 states that the relevant authority can make requirements for compulsory vaccination for schoolchildren, though such a regulation could not be identified. ",MDG
Madagascar,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,MDG
Madagascar,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MDG
Madagascar,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",MDG
Malawi,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MWI
Malawi,Enforcement of childhood vaccination requirement,Social exclusion,"In Malawi, children without the smallpox vaccine are legally required to be barred from school enrollment. ",MWI
Malawi,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,MWI
Malawi,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MWI
Malawi,Enforcement of emergency vaccination,Legal sanctions,"In Malawi, citizens that refuse emergency vaccination are to receive a fine of 100 Malawian Pounds and 12 months imprisonment. However, the Malawian Pound was replaced by the Kwacha in 1971, so the current value of the fine is unclear. ",MWI
Malaysia,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MYS
Malaysia,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MYS
Malaysia,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MYS
Malaysia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MYS
Malaysia,Enforcement of emergency vaccination,Legal sanctions,"In Malaysia, individuals that refuse mandatory vaccination may be sentenced to imprisonment for up to two years and/or assessed a fine, though the amount of the fine is undefined in the law. ",MYS
Maldives,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MDV
Maldives,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"Children in the Maldives are required to show proof of immunization from required diseases upon school enrollment. Additionally, individuals that do not vaccinate their children can incur a fine of up to 3,000 Maldivian Rufiya. ",MDV
Maldives,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,MDV
Maldives,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MDV
Maldives,Enforcement of emergency vaccination,2 or more enforcement mechanisms,"In the Maldives, individuals that fail to comply with emergency vaccination may incur a fine up to Maldivian Rufiya and may, under court order, be forcibly vaccinated. ",MDV
Mali,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MLI
Mali,Enforcement of childhood vaccination requirement,No enforcement mechanisms,"While there is a legal requirement for children to be vaccinated, no enforcement mechanisms were identified in the legislation. Article 275 states that the relevant authority can make requirements for compulsory vaccination for schoolchildren, though such a regulation could not be identified. ",MLI
Mali,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,MLI
Mali,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MLI
Mali,Enforcement of emergency vaccination,Legal sanctions,"In Mali, citizens that refuse emergency vaccination are to receive a fine of 5,000-30,000 Francs and/or a jail sentence of 5-15 days. ",MLI
Malta,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MLT
Malta,Enforcement of childhood vaccination requirement,Legal sanctions,"In Malta, parents of children without mandatory vaccinations may be fined between 232.94 and 4,658.75 Euro and/or may face a prison sentence of 6 months to two years. ",MLT
Malta,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,MLT
Malta,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MLT
Malta,Enforcement of emergency vaccination,Legal sanctions,"In Malta, citizens that refuse emergency vaccination are to receive a fine between 232.94 and 4,658.75 Euro and/or may face a prison sentence of 6 months to two years. ",MLT
Marshall Islands,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MHL
Marshall Islands,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MHL
Marshall Islands,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MHL
Marshall Islands,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have legislation or a constitutional right to mandate vaccination. ",MHL
Marshall Islands,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",MHL
Mauritania,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MRT
Mauritania,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MRT
Mauritania,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MRT
Mauritania,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MRT
Mauritania,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",MRT
Mauritius,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MUS
Mauritius,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MUS
Mauritius,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MUS
Mauritius,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MUS
Mauritius,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",MUS
Mexico,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MEX
Mexico,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Mexico, the government reserves the right to forcibly vaccinate individuals and can prosecute parents for failing to vaccinate their children, though the exact penalty is unclear (Criminalization). ",MEX
Mexico,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,MEX
Mexico,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MEX
Mexico,Enforcement of emergency vaccination,2 or more enforcement mechanisms,"In Mexico, the government reserves the right to forcibly vaccinate individuals and can prosecute individuals for failing to receive an emergency vaccination, though the exact penalty is unclear (Criminalization). ",MEX
Micronesia (Federated States of Micronesia),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,FSM
Micronesia (Federated States of Micronesia),Enforcement of childhood vaccination requirement,Social exclusion,"In the Federated States of Micronesia, unvaccinated children may not be admitted to school.",FSM
Micronesia (Federated States of Micronesia),Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,FSM
Micronesia (Federated States of Micronesia),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,FSM
Micronesia (Federated States of Micronesia),Enforcement of emergency vaccination,Social exclusion,Individuals that do not receive mandatory vaccines may be socially excluded from public life during an epidemic. ,FSM
Monaco,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MCO
Monaco,Enforcement of childhood vaccination requirement,Social exclusion,"In Monaco, unvaccinated children may not be admitted to school.",MCO
Monaco,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,MCO
Monaco,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MCO
Monaco,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",MCO
Mongolia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MNG
Mongolia,Enforcement of childhood vaccination requirement,No enforcement mechanisms,"While there is a legal requirement for children to be vaccinated, no enforcement mechanisms were identified in the legislation. ",MNG
Mongolia,Exemption from childhood vaccination requirement,Medical and non-medical exemptions,"Legislation specifies that medical and non-medical exemptions are allowed in this country. Mongolian law specifically states that citizens, and those under the guardianship of Mongolian citizens, may refuse vaccination for any reason. ",MNG
Mongolia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MNG
Mongolia,Enforcement of emergency vaccination,Legal sanctions,"Individuals that do not receive mandatory vaccines may be prosecuted under the Criminal Law, though the penalty is not defined. ",MNG
Montenegro,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MNE
Montenegro,Enforcement of childhood vaccination requirement,Legal sanctions,"In Montenegro, parents of children without mandatory vaccinations may be fined between 100 and 2,000 Euro. ",MNE
Montenegro,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,MNE
Montenegro,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MNE
Montenegro,Enforcement of emergency vaccination,Legal sanctions,"In Montenegro, citizens that refuse emergency vaccination are to receive a fine between 500 and 2,000 Euro. ",MNE
Morocco,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MAR
Morocco,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MAR
Morocco,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MAR
Morocco,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MAR
Morocco,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",MAR
Mozambique,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MOZ
Mozambique,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MOZ
Mozambique,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MOZ
Mozambique,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MOZ
Mozambique,Enforcement of emergency vaccination,Legal sanctions,"Individuals that fail to comply with mandatory vaccination during a public health threat, and therefore, plausibly imperil general public health, will face a jail sentence of 2 years and an undefined fine. ",MOZ
Myanmar (Burma),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MMR
Myanmar (Burma),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MMR
Myanmar (Burma),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,MMR
Myanmar (Burma),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MMR
Myanmar (Burma),Enforcement of emergency vaccination,Legal sanctions,"Individuals that fail to comply with mandatory vaccination during an epidemic threat will be fined up to 1,000 kyats. ",MMR
Namibia,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NAM
Namibia,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NAM
Namibia,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NAM
Namibia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NAM
Namibia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NAM
Nauru,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NRU
Nauru,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NRU
Nauru,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NRU
Nauru,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NRU
Nauru,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NRU
Nepal,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NPL
Nepal,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NPL
Nepal,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NPL
Nepal,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NPL
Nepal,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NPL
Netherlands,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NLD
Netherlands,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NLD
Netherlands,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NLD
Netherlands,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NLD
Netherlands,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NLD
New Zealand,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NZL
New Zealand,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NZL
New Zealand,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NZL
New Zealand,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NZL
New Zealand,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NZL
Nicaragua,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NIC
Nicaragua,Enforcement of childhood vaccination requirement,Legal sanctions,"In Nicaragua, an individual that refuses a routine vaccination may be fined between 500 and 5,000 córdobas. ",NIC
Nicaragua,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,NIC
Nicaragua,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NIC
Nicaragua,Enforcement of emergency vaccination,Legal sanctions,"In Nicaragua, an individual that refuses an emergency vaccination and plausibly causes reparable damage to society or another person, the individual  will be fined between 500 and 30,000 córdobas. However, if the refusal of the vaccination results in irreparable damage to society or the death of another person, the unvaccinated individual may be fined between 30,001 and 50,000 córdobas.  ",NIC
Niger,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NER
Niger,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NER
Niger,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NER
Niger,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NER
Niger,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NER
Nigeria,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NGA
Nigeria,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NGA
Nigeria,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NGA
Nigeria,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. At the time of data collection, the ""Bill for an Act to Provide for an Effective National Framework for the Control of Outbreaks of Infectious Diseases and Other Events Endangering Public Health and Requiring Public Health Emergency Measures and For Other Related Matters” had been passed by the Nigerian Senate, but had not been signed into law. ",NGA
Nigeria,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NGA
Niue,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NIU
Niue,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NIU
Niue,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NIU
Niue,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NIU
Niue,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NIU
North Macedonia (Macedonia; FYROM),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,MKD
North Macedonia (Macedonia; FYROM),Enforcement of childhood vaccination requirement,Legal sanctions,"Parents in North Macedonia can incur a fine for failing to vaccinate their child. The fine must be between 30,000 and 50,000 Macedonian Denar. ",MKD
North Macedonia (Macedonia; FYROM),Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,MKD
North Macedonia (Macedonia; FYROM),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,MKD
North Macedonia (Macedonia; FYROM),Enforcement of emergency vaccination,Legal sanctions," The fine for failure to receive an emergency vaccination must be between 30,000 and 50,000 Macedonian Denar. ",MKD
Norway,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,NOR
Norway,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NOR
Norway,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,NOR
Norway,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,NOR
Norway,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",NOR
Oman,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,OMN
Oman,Enforcement of childhood vaccination requirement,Legal sanctions,Parents of unvaccinated children in Oman can be fined between 100-500 Rial Omani and imprisoned between 6 months and 3 years. ,OMN
Oman,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,OMN
Oman,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,OMN
Oman,Enforcement of emergency vaccination,Legal sanctions,"In Oman, individuals that fail to comply with mandatory emergency vaccinations are subject to a fine between 500-5,000 Rial Omani and/or imprisonment between 1 month and 1 year.",OMN
Pakistan,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. Some provinces have subnational vaccination requirements, but these mandates are not uniformly in place across the entire country. ",PAK
Pakistan,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,PAK
Pakistan,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,PAK
Pakistan,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PAK
Pakistan,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",PAK
Palau,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PLW
Palau,Enforcement of childhood vaccination requirement,Social exclusion,"In Palau, unvaccinated children may not be admitted to school unless their parents have formally requested the vaccine(s) be administered within the next 30 days",PLW
Palau,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,PLW
Palau,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PLW
Palau,Enforcement of emergency vaccination,Legal sanctions,Individuals that do not receive mandatory vaccines may be assessed a fine of up to 500 USD and a jail sentence of up to one year. ,PLW
Panama,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PAN
Panama,Enforcement of childhood vaccination requirement,Social exclusion,"In Panama, children that are un or undervaccinated will not be allowed to attend congregate settings of children (e.g. nursery, school) and will be referred to the local healthy authority to receive the vaccinations. Parents may also face criminalization. ",PAN
Panama,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,PAN
Panama,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PAN
Panama,Enforcement of emergency vaccination,Legal sanctions,Individuals that do not receive mandatory vaccines may be criminalized. Exact penalties vary by employer (public versus private) and/or charges against an individual. ,PAN
Papua New Guinea,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PNG
Papua New Guinea,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,PNG
Papua New Guinea,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,PNG
Papua New Guinea,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PNG
Papua New Guinea,Enforcement of emergency vaccination,Legal sanctions,"Individuals that do not receive mandatory vaccines may be assessed a fine of up to K50,000.00 and/or incarcerated for up to 5 years. ",PNG
Paraguay,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PRY
Paraguay,Enforcement of childhood vaccination requirement,Social exclusion,"In Paraguay, children that are un or undervaccinated will not be allowed to attend congregate settings of children (e.g. nursery, school) and will be referred to the local healthy authority to receive the vaccinations. ",PRY
Paraguay,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,PRY
Paraguay,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PRY
Paraguay,Enforcement of emergency vaccination,Legal sanctions,"Individuals that do not receive mandatory vaccines may be assessed a ""minor penalty"", equal to 1-5 days' work salary. ",PRY
Peru,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PER
